obs_num,common_name,scientific_name,quality_grade,media_count,identifications_count,user,observed_date,place,added_date
60,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,ginger70650,"Dec 3, 2024 2:36 PM CST","San Angelo, TX, USA","Dec 3, 2024 9:41 PM CST"
61,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Nov 20, 2024 3:20 PM CST","San Angelo, TX 76904, USA","Nov 20, 2024 3:20 PM CST"
62,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Nov 20, 2024 2:54 PM CST","San Angelo, TX 76904, USA","Nov 20, 2024 2:54 PM CST"
63,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,mmendoza40,"Nov 19, 2024 3:29 PM CST","San Angelo, TX, US","Nov 19, 2024 3:30 PM CST"
64,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,gtellez1,"Nov 19, 2024 3:29 PM CST","San Angelo, TX, US","Nov 19, 2024 3:29 PM CST"
65,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,zzhaire,"Oct 27, 2024 10:13 AM CDT","Northwest Dr, San Angelo, TX, US","Oct 27, 2024 10:22 AM CDT"
66,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,kvotx,"Oct 13, 2024 7:41 AM CDT","San Angelo, TX 76903, USA","Oct 13, 2024 9:02 AM CDT"
67,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,justin_olthoff,"Sep 24, 2024 9:59 AM CDT","San Angelo State Park, 362 FM 2288, San Angelo, TX 76901, USA","Sep 27, 2024 10:02 AM CDT"
68,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,4,2,cynodon,"Jun 12, 2024 8:22 PM CDT","San Angelo, TX, USA","Jun 17, 2024 3:16 PM CDT"
69,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,takkycat,"Jun 6, 2024 12:21 PM CDT","Rio Concho Community Park, San Angelo, TX, US","Jun 6, 2024 12:22 PM CDT"
70,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,harrier,"May 5, 2024 9:36 AM CDT","San Angelo, TX, USA","May 21, 2024 10:13 PM CDT"
71,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,harrier,"May 5, 2024 9:49 AM CDT","San Angelo, TX, USA","May 21, 2024 10:13 PM CDT"
72,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,cypselurus,"May 5, 2024 9:36 AM CDT","W Houston Harte Frontage Rd, San Angelo, TX, US","May 21, 2024 4:48 PM CDT"
